연번,시도,기관명,주소,전화번호,운영주체,법인유형
472,충북,산남종합사회복지관,충북 청주시 서원구 구룡산로 290,043-288-1428,청주교구천주교회유지재단,재단법인
473,충북,삼보사회복지관,충북 증평군 증평읍 창신로 85,043-836-6040,열림재단,사회복지법인
474,충북,생거진천종합사회복지관,충북 진천군 진천읍 중앙북1길 11-10,043-539-3238,진천군,지자체(직영)
475,충북,오송종합사회복지관,충북 청주시 흥덕구 오송읍 오송생명1로 180,043-234-5479,대우재단,재단법인
476,충북,용암종합사회복지관,충북 청주시 상당구 원봉로 52-1,043-293-9191,월드비전,사회복지법인
477,충북,제천종합사회복지관,충북 제천시 용두대로23길 14,043-644-2983,원주가톨릭사회복지회,사회복지법인
478,충북,증평종합사회복지관,충북 증평군 증평읍 송티로76-23,043-838-1906,열림재단,사회복지법인
479,충북,청주사회복지관,충북 청주시 상당구 영운천로 13-1(청주사회복지관 1층),043-253-4493,어린이재단,사회복지법인
480,충북,청주종합사회복지관,충북 청주시 흥덕구 1순환로 392 (신봉동),043-266-4761,충북현양복지재단,사회복지법인
481,충북,충주종합사회복지관,충북 충주시 주공길 7,043-855-3000,열림재단,사회복지법인
